tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 217 , 39 , 40 , 89 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 20 , 20 , 32 , 113 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 50 , 32 , 42 , 19 , 4
6 , 20 , 20 , 32 , 107 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 31 , 20 , 38 , 22 , 4
6 , 31 , 20 , 38 , 48 , 4
6 , 42 , 19 , 40 , 45 , 4
6 , 42 , 19 , 40 , 45 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 351 , 102 , 42 , 77 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 30 , 26 , 29 , 26 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 35 , 35 , 32 , 60 , 4
6 , 26 , 26 , 32 , 30 , 4
6 , 26 , 26 , 32 , 30 , 4
6 , 26 , 26 , 32 , 30 , 4
6 , 26 , 26 , 32 , 29 , 4
6 , 37 , 37 , 32 , 60 , 4
6 , 35 , 35 , 32 , 60 , 4
6 , 35 , 62 , 26 , 71 , 4
6 , 40 , 22 , 36 , 102 , 4
6 , 42 , 19 , 40 , 89 , 4
6 , 26 , 26 , 32 , 115 , 4
6 , 47 , 30 , 42 , 40 , 4
6 , 42 , 19 , 40 , 45 , 4
6 , 32 , 1085 , 28 , 25 , 4
6 , 35 , 827 , 32 , 22 , 4
6 , 52 , 1240 , 28 , 25 , 4
6 , 32 , 1006 , 32 , 22 , 4
6 , 34 , 927 , 32 , 22 , 4
6 , 43 , 932 , 29 , 24 , 4
6 , 44 , 961 , 32 , 23 , 4
6 , 24 , 1156 , 24 , 28 , 4
6 , 23 , 1048 , 26 , 26 , 4
6 , 20 , 1316 , 20 , 31 , 4
6 , 26 , 1139 , 27 , 26 , 4
6 , 21 , 1354 , 19 , 32 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 17 , 1082 , 21 , 30 , 4
6 , 17 , 1060 , 21 , 30 , 4
6 , 18 , 1068 , 22 , 30 , 4
6 , 14 , 1248 , 18 , 32 , 4
6 , 41 , 52 , 26 , 70 , 4
6 , 26 , 26 , 32 , 115 , 4
6 , 415 , 102 , 42 , 77 , 4
6 , 35 , 817 , 23 , 75 , 4
6 , 165 , 255 , 42 , 40 , 4
6 , 20 , 20 , 32 , 113 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 170 , 15 , 48 , 30 , 4
6 , 170 , 15 , 48 , 30 , 4
6 , 170 , 15 , 48 , 30 , 4
6 , 170 , 15 , 48 , 26 , 4
6 , 17 , 34 , 21 , 30 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 17 , 34 , 21 , 30 , 4
6 , 17 , 34 , 21 , 30 , 4
6 , 17 , 34 , 21 , 30 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 60 , 131 , 22 , 78 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 26 , 28 , 28 , 32 , 4
6 , 26 , 28 , 28 , 33 , 4
6 , 26 , 28 , 28 , 33 , 4
6 , 26 , 28 , 28 , 33 , 4
6 , 17 , 34 , 21 , 30 , 4
6 , 42 , 19 , 40 , 86 , 4
6 , 31 , 974 , 31 , 29 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 31 , 17 , 36 , 24 , 4
6 , 42 , 19 , 40 , 89 , 4
