tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 26 , 26 , 32 , 115 , 4
6 , 26 , 26 , 32 , 28 , 4
6 , 180 , 232 , 37 , 95 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 47 , 47 , 32 , 60 , 4
6 , 57 , 116 , 24 , 75 , 4
6 , 42 , 751 , 21 , 80 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 37 , 37 , 32 , 60 , 4
6 , 32 , 972 , 30 , 58 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 29 , 31 , 24 , 32 , 4
6 , 39 , 26 , 42 , 18 , 4
6 , 42 , 28 , 42 , 18 , 4
6 , 50 , 32 , 42 , 19 , 4
6 , 95 , 632 , 34 , 51 , 4
6 , 50 , 714 , 31 , 56 , 4
6 , 27 , 1338 , 21 , 74 , 4
6 , 32 , 820 , 30 , 58 , 4
6 , 42 , 811 , 29 , 60 , 4
6 , 61 , 263 , 26 , 64 , 4
6 , 30 , 1246 , 25 , 67 , 4
6 , 11 , 1447 , 14 , 85 , 4
6 , 26 , 26 , 32 , 115 , 4
6 , 91 , 112 , 27 , 63 , 4
6 , 91 , 112 , 27 , 63 , 4
6 , 29 , 22 , 36 , 21 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 50 , 32 , 42 , 19 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 39 , 26 , 42 , 18 , 4
6 , 26 , 26 , 32 , 115 , 4
6 , 47 , 30 , 42 , 18 , 4
6 , 47 , 30 , 42 , 40 , 4
6 , 39 , 26 , 42 , 18 , 4
6 , 26 , 26 , 32 , 28 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 17 , 34 , 21 , 74 , 4
6 , 86 , 83 , 36 , 21 , 4
6 , 43 , 678 , 33 , 23 , 4
6 , 86 , 147 , 36 , 21 , 4
6 , 35 , 41 , 32 , 26 , 4
6 , 35 , 41 , 32 , 27 , 4
6 , 39 , 26 , 42 , 18 , 4
6 , 37 , 44 , 32 , 22 , 4
6 , 31 , 662 , 32 , 59 , 4
6 , 62 , 164 , 21 , 80 , 4
6 , 52 , 393 , 34 , 56 , 4
6 , 34 , 1012 , 27 , 134 , 4
6 , 41 , 956 , 29 , 128 , 4
6 , 35 , 992 , 27 , 136 , 4
6 , 98 , 405 , 32 , 119 , 4
6 , 104 , 417 , 32 , 119 , 4
6 , 39 , 1091 , 27 , 134 , 4
6 , 77 , 0 , 64 , 0 , 4
6 , 30 , 973 , 22 , 79 , 4
6 , 64 , 145 , 24 , 73 , 4
6 , 65 , 53 , 29 , 26 , 4
