tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 31 , 20 , 38 , 22 , 4
6 , 39 , 715 , 22 , 78 , 4
6 , 31 , 20 , 38 , 48 , 4
6 , 31 , 20 , 38 , 48 , 4
6 , 16 , 1216 , 19 , 84 , 4
6 , 66 , 207 , 37 , 49 , 4
6 , 112 , 149 , 27 , 69 , 4
6 , 31 , 20 , 38 , 22 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 50 , 32 , 42 , 40 , 4
6 , 35 , 35 , 32 , 60 , 4
6 , 50 , 32 , 42 , 40 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 25 , 27 , 28 , 27 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 199 , 212 , 38 , 92 , 4
6 , 88 , 851 , 26 , 137 , 4
6 , 121 , 202 , 39 , 21 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 40 , 1065 , 27 , 28 , 4
6 , 86 , 489 , 33 , 23 , 4
6 , 30 , 940 , 30 , 25 , 4
6 , 22 , 1122 , 24 , 30 , 4
6 , 86 , 135 , 36 , 23 , 4
6 , 86 , 136 , 36 , 23 , 4
6 , 37 , 20 , 42 , 18 , 4
6 , 34 , 62 , 25 , 73 , 4
6 , 97 , 37 , 38 , 23 , 4
6 , 216 , 625 , 25 , 137 , 4
6 , 415 , 102 , 42 , 77 , 4
6 , 40 , 783 , 24 , 149 , 4
6 , 39 , 1087 , 27 , 139 , 4
6 , 60 , 224 , 35 , 108 , 4
6 , 67 , 256 , 36 , 106 , 4
6 , 50 , 32 , 42 , 41 , 4
6 , 29 , 24 , 32 , 30 , 4
6 , 35 , 1167 , 26 , 143 , 4
6 , 84 , 358 , 34 , 103 , 4
6 , 98 , 148 , 34 , 113 , 4
6 , 546 , 38 , 40 , 87 , 4
6 , 66 , 211 , 32 , 107 , 4
6 , 166 , 340 , 42 , 79 , 4
6 , 35 , 22 , 36 , 25 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 39 , 26 , 42 , 18 , 4
6 , 50 , 32 , 42 , 77 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 20 , 781 , 25 , 146 , 4
6 , 28 , 1325 , 18 , 174 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 24 , 4
6 , 26 , 26 , 32 , 30 , 4
6 , 26 , 26 , 32 , 30 , 4
6 , 26 , 26 , 32 , 30 , 4
6 , 26 , 26 , 32 , 29 , 4
6 , 50 , 32 , 42 , 16 , 4
6 , 52 , 0 , 64 , 0 , 4
6 , 52 , 0 , 64 , 0 , 4
