tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 37 , 37 , 32 , 119 , 4
6 , 39 , 273 , 25 , 33 , 4
6 , 29 , 24 , 36 , 24 , 4
6 , 29 , 24 , 36 , 24 , 4
6 , 32 , 57 , 25 , 73 , 4
6 , 50 , 32 , 42 , 81 , 4
6 , 50 , 32 , 42 , 81 , 4
6 , 50 , 32 , 42 , 79 , 4
6 , 29 , 24 , 36 , 24 , 4
6 , 221 , 71 , 38 , 92 , 4
6 , 37 , 37 , 32 , 119 , 4
17 , 27 , 38 , 32 , 32 , 4
6 , 55 , 657 , 32 , 24 , 4
6 , 26 , 28 , 28 , 128 , 4
17 , 0 , 380 , 0 , 4 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 39 , 26 , 42 , 18 , 4
6 , 47 , 30 , 42 , 40 , 4
6 , 50 , 32 , 42 , 15 , 4
6 , 50 , 32 , 42 , 13 , 4
6 , 42 , 28 , 42 , 18 , 4
6 , 39 , 26 , 42 , 18 , 4
6 , 50 , 32 , 42 , 40 , 4
6 , 55 , 26 , 32 , 59 , 4
17 , 0 , 78 , 0 , 64 , 4
6 , 35 , 35 , 32 , 60 , 4
6 , 35 , 35 , 32 , 60 , 4
6 , 32 , 15 , 40 , 21 , 4
6 , 50 , 32 , 42 , 19 , 4
6 , 29 , 29 , 32 , 28 , 4
17 , 28 , 52 , 32 , 32 , 4
6 , 91 , 370 , 39 , 41 , 4
17 , 30 , 88 , 32 , 32 , 4
6 , 79 , 371 , 36 , 24 , 4
17 , 30 , 109 , 32 , 32 , 4
6 , 66 , 360 , 36 , 100 , 4
17 , 34 , 70 , 32 , 32 , 4
17 , 37 , 74 , 32 , 32 , 4
6 , 75 , 301 , 32 , 115 , 4
17 , 30 , 54 , 32 , 32 , 4
6 , 90 , 306 , 33 , 108 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 63 , 375 , 36 , 102 , 4
6 , 119 , 368 , 37 , 93 , 4
6 , 58 , 332 , 36 , 104 , 4
6 , 102 , 699 , 30 , 125 , 4
6 , 59 , 283 , 35 , 107 , 4
17 , 31 , 54 , 32 , 32 , 4
17 , 31 , 35 , 32 , 32 , 4
17 , 32 , 56 , 32 , 32 , 4
6 , 103 , 200 , 38 , 93 , 4
6 , 89 , 566 , 32 , 115 , 4
6 , 57 , 445 , 34 , 108 , 4
6 , 58 , 332 , 36 , 104 , 4
6 , 54 , 315 , 33 , 112 , 4
6 , 36 , 18 , 42 , 79 , 4
6 , 100 , 71 , 33 , 108 , 4
17 , 29 , 53 , 32 , 32 , 4
6 , 33 , 20 , 42 , 79 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 79 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 79 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 79 , 4
6 , 39 , 26 , 42 , 18 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 79 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 33 , 20 , 42 , 76 , 4
17 , 32 , 102 , 32 , 32 , 4
6 , 77 , 300 , 34 , 50 , 4
6 , 33 , 20 , 42 , 76 , 4
6 , 37 , 20 , 42 , 76 , 4
6 , 63 , 84 , 33 , 108 , 4
6 , 26 , 26 , 32 , 115 , 4
6 , 26 , 26 , 32 , 118 , 4
6 , 50 , 32 , 42 , 79 , 4
6 , 29 , 29 , 32 , 28 , 4
17 , 0 , 380 , 0 , 4 , 4
6 , 39 , 17 , 42 , 79 , 4
6 , 40 , 22 , 36 , 19 , 4
6 , 40 , 22 , 36 , 16 , 4
6 , 31 , 18 , 36 , 24 , 4
6 , 40 , 19 , 40 , 45 , 4
6 , 40 , 24 , 36 , 51 , 4
6 , 34 , 15 , 40 , 20 , 4
6 , 31 , 17 , 36 , 24 , 4
6 , 188 , 64 , 37 , 96 , 4
6 , 26 , 26 , 32 , 53 , 4
6 , 50 , 32 , 42 , 79 , 4
6 , 20 , 20 , 32 , 28 , 4
6 , 126 , 344 , 30 , 122 , 4
6 , 55 , 26 , 32 , 59 , 4
6 , 26 , 26 , 32 , 115 , 4
17 , 0 , 78 , 0 , 64 , 4
6 , 47 , 30 , 42 , 40 , 4
6 , 47 , 30 , 42 , 40 , 4
6 , 50 , 32 , 42 , 16 , 4
6 , 39 , 23 , 40 , 21 , 4
6 , 34 , 57 , 24 , 74 , 4
17 , 28 , 48 , 32 , 32 , 4
6 , 165 , 47 , 36 , 22 , 4
6 , 119 , 304 , 35 , 23 , 4
17 , 30 , 87 , 32 , 32 , 4
6 , 55 , 871 , 29 , 26 , 4
17 , 32 , 98 , 32 , 32 , 4
17 , 33 , 59 , 32 , 32 , 4
6 , 65 , 205 , 37 , 46 , 4
6 , 61 , 211 , 36 , 23 , 4
6 , 36 , 946 , 23 , 35 , 4
17 , 29 , 58 , 32 , 32 , 4
6 , 82 , 109 , 40 , 41 , 4
17 , 30 , 86 , 32 , 32 , 4
17 , 33 , 92 , 32 , 32 , 4
6 , 66 , 236 , 36 , 23 , 4
6 , 43 , 978 , 24 , 33 , 4
6 , 61 , 203 , 37 , 22 , 4
6 , 64 , 217 , 38 , 21 , 4
6 , 64 , 217 , 38 , 21 , 4
6 , 61 , 203 , 37 , 22 , 4
6 , 64 , 218 , 38 , 21 , 4
6 , 64 , 218 , 38 , 21 , 4
6 , 0 , 52 , 0 , 119 , 4
6 , 46 , 846 , 22 , 35 , 4
17 , 0 , 78 , 0 , 64 , 4
17 , 30 , 76 , 32 , 32 , 4
6 , 33 , 858 , 24 , 149 , 4
6 , 20 , 1161 , 16 , 36 , 4
6 , 26 , 26 , 32 , 118 , 4
6 , 34 , 1211 , 25 , 32 , 4
17 , 32 , 91 , 32 , 32 , 4
6 , 105 , 696 , 34 , 25 , 4
6 , 98 , 749 , 34 , 26 , 4
6 , 60 , 839 , 33 , 26 , 4
6 , 58 , 1081 , 26 , 33 , 4
6 , 26 , 26 , 32 , 53 , 4
6 , 27 , 37 , 25 , 138 , 4
6 , 41 , 604 , 33 , 23 , 4
6 , 39 , 22 , 42 , 79 , 4
6 , 29 , 980 , 25 , 34 , 4
17 , 30 , 87 , 32 , 32 , 4
6 , 88 , 307 , 35 , 24 , 4
17 , 31 , 113 , 32 , 32 , 4
6 , 26 , 26 , 32 , 26 , 4
6 , 26 , 26 , 32 , 115 , 4
17 , 31 , 105 , 32 , 32 , 4
6 , 71 , 375 , 30 , 127 , 4
6 , 29 , 1047 , 22 , 35 , 4
6 , 26 , 26 , 32 , 26 , 4
17 , 32 , 80 , 32 , 32 , 4
6 , 44 , 544 , 34 , 54 , 4
6 , 26 , 26 , 32 , 60 , 4
17 , 31 , 96 , 32 , 32 , 4
6 , 94 , 394 , 35 , 22 , 4
17 , 33 , 73 , 32 , 32 , 4
6 , 63 , 321 , 34 , 26 , 4
6 , 74 , 216 , 42 , 18 , 4
17 , 33 , 94 , 32 , 32 , 4
6 , 84 , 270 , 37 , 22 , 4
6 , 26 , 26 , 32 , 118 , 4
6 , 26 , 26 , 32 , 28 , 4
6 , 26 , 26 , 32 , 53 , 4
6 , 26 , 26 , 32 , 28 , 4
6 , 26 , 26 , 32 , 28 , 4
6 , 26 , 26 , 32 , 28 , 4
6 , 20 , 20 , 32 , 28 , 4
6 , 31 , 31 , 32 , 115 , 4
6 , 32 , 62 , 22 , 78 , 4
17 , 30 , 86 , 32 , 32 , 4
6 , 113 , 292 , 41 , 20 , 4
6 , 26 , 26 , 32 , 115 , 4
6 , 26 , 26 , 32 , 26 , 4
6 , 48 , 481 , 28 , 30 , 4
6 , 26 , 26 , 32 , 26 , 4
17 , 31 , 93 , 32 , 32 , 4
17 , 30 , 66 , 32 , 32 , 4
6 , 44 , 861 , 28 , 30 , 4
17 , 33 , 92 , 32 , 32 , 4
6 , 81 , 268 , 35 , 103 , 4
6 , 20 , 1269 , 19 , 39 , 4
6 , 26 , 26 , 32 , 60 , 4
17 , 31 , 86 , 32 , 32 , 4
6 , 86 , 381 , 36 , 24 , 4
17 , 33 , 92 , 32 , 32 , 4
17 , 33 , 92 , 32 , 32 , 4
17 , 33 , 92 , 32 , 32 , 4
6 , 69 , 177 , 36 , 24 , 4
6 , 77 , 190 , 40 , 20 , 4
