tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 30 , 1259 , 26 , 72 , 1
6 , 31 , 1211 , 24 , 75 , 1
6 , 82 , 52 , 24 , 75 , 1
6 , 27 , 1385 , 24 , 77 , 1
6 , 47 , 30 , 42 , 40 , 1
6 , 22 , 1522 , 19 , 86 , 1
6 , 82 , 52 , 24 , 75 , 1
6 , 21 , 1549 , 19 , 85 , 1
6 , 40 , 19 , 40 , 45 , 1
6 , 21 , 1580 , 19 , 86 , 1
6 , 82 , 52 , 24 , 75 , 1
6 , 26 , 1066 , 22 , 79 , 1
6 , 82 , 52 , 24 , 75 , 1
6 , 14 , 1201 , 15 , 93 , 1
6 , 30 , 1271 , 26 , 73 , 1
6 , 84 , 52 , 24 , 75 , 1
6 , 31 , 1248 , 26 , 72 , 1
