tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 30 , 1113 , 27 , 68 , 1
6 , 19 , 1509 , 18 , 85 , 1
6 , 38 , 1025 , 31 , 61 , 1
6 , 95 , 86 , 26 , 70 , 1
6 , 22 , 1568 , 20 , 83 , 1
6 , 18 , 1641 , 17 , 88 , 1
6 , 41 , 1104 , 32 , 59 , 1
6 , 16 , 1603 , 18 , 86 , 1
6 , 39 , 26 , 42 , 18 , 1
6 , 23 , 1465 , 20 , 83 , 1
6 , 88 , 90 , 26 , 70 , 1
6 , 40 , 1014 , 31 , 60 , 1
6 , 37 , 1115 , 29 , 65 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 22 , 1495 , 20 , 82 , 1
6 , 35 , 1123 , 29 , 65 , 1
6 , 39 , 1061 , 31 , 61 , 1
6 , 28 , 1372 , 23 , 76 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 28 , 1314 , 23 , 75 , 1
