tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 206 , 63 , 25 , 72 , 1
6 , 26 , 26 , 32 , 62 , 1
6 , 23 , 1457 , 20 , 85 , 1
6 , 26 , 26 , 27 , 70 , 1
6 , 82 , 69 , 24 , 74 , 1
6 , 26 , 1444 , 21 , 82 , 1
6 , 26 , 1445 , 22 , 80 , 1
6 , 108 , 110 , 24 , 74 , 1
6 , 164 , 79 , 25 , 72 , 1
6 , 22 , 1588 , 19 , 86 , 1
6 , 30 , 1310 , 26 , 72 , 1
6 , 100 , 73 , 24 , 74 , 1
6 , 47 , 30 , 42 , 40 , 1
6 , 37 , 37 , 32 , 62 , 1
6 , 27 , 1368 , 22 , 79 , 1
6 , 82 , 52 , 24 , 75 , 1
6 , 26 , 1393 , 24 , 77 , 1
6 , 38 , 22 , 36 , 51 , 1
6 , 35 , 26 , 32 , 62 , 1
6 , 18 , 1645 , 16 , 91 , 1
6 , 82 , 52 , 24 , 75 , 1
6 , 99 , 159 , 33 , 57 , 1
6 , 26 , 1352 , 23 , 79 , 1
6 , 29 , 1315 , 25 , 75 , 1
