tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 41 , 54 , 32 , 26 , 2
6 , 20 , 94 , 32 , 28 , 2
6 , 32 , 751 , 32 , 27 , 2
6 , 20 , 97 , 32 , 28 , 2
6 , 50 , 44 , 33 , 24 , 2
6 , 26 , 39 , 32 , 28 , 2
6 , 53 , 42 , 32 , 26 , 2
6 , 56 , 37 , 32 , 26 , 2
6 , 20 , 52 , 32 , 28 , 2
6 , 52 , 40 , 32 , 26 , 2
6 , 188 , 33 , 36 , 24 , 2
6 , 20 , 20 , 32 , 28 , 2
6 , 57 , 35 , 32 , 26 , 2
6 , 28 , 44 , 32 , 28 , 2
6 , 53 , 40 , 32 , 26 , 2
6 , 58 , 33 , 32 , 26 , 2
6 , 20 , 20 , 32 , 28 , 2
6 , 20 , 20 , 32 , 28 , 2
6 , 20 , 59 , 32 , 28 , 2
6 , 52 , 40 , 32 , 26 , 2
6 , 32 , 28 , 32 , 28 , 2
6 , 188 , 33 , 36 , 24 , 2
6 , 51 , 42 , 32 , 26 , 2
6 , 20 , 66 , 32 , 28 , 2
