tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 39 , 56 , 32 , 25 , 2
6 , 187 , 36 , 36 , 24 , 2
6 , 44 , 51 , 32 , 26 , 2
6 , 28 , 38 , 32 , 28 , 2
6 , 44 , 51 , 32 , 25 , 2
6 , 20 , 20 , 32 , 28 , 2
6 , 52 , 41 , 32 , 26 , 2
6 , 32 , 28 , 32 , 28 , 2
6 , 0 , 0 , 0 , 0 , 2
6 , 0 , 0 , 0 , 0 , 2
6 , 0 , 0 , 0 , 0 , 2
6 , 0 , 0 , 0 , 0 , 2
6 , 42 , 51 , 32 , 26 , 2
6 , 20 , 112 , 32 , 28 , 2
6 , 189 , 33 , 36 , 24 , 2
6 , 47 , 48 , 32 , 26 , 2
6 , 32 , 28 , 32 , 28 , 2
6 , 48 , 47 , 32 , 26 , 2
6 , 51 , 42 , 32 , 26 , 2
6 , 20 , 80 , 32 , 28 , 2
6 , 20 , 20 , 32 , 28 , 2
