tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 17 , 1501 , 25 , 34 , 3
6 , 17 , 1444 , 25 , 33 , 3
6 , 11 , 1792 , 17 , 40 , 3
6 , 14 , 1777 , 16 , 41 , 3
6 , 24 , 1354 , 27 , 31 , 3
6 , 16 , 1595 , 23 , 35 , 3
6 , 22 , 1391 , 27 , 32 , 3
6 , 11 , 1732 , 17 , 40 , 3
6 , 18 , 1571 , 21 , 37 , 3
6 , 22 , 1412 , 27 , 32 , 3
